concepts_name,primary_part,parts,paper_ids,supporting_titles,supporting_urls,canonical_urls,paper_row_count,verified_true_paper_rows,verification_statuses,citation_count_agg,definition,what_count,what_do_not_count,concept_text,evidence_texts,definition_variant_count,what_count_variant_count,what_not_variant_count,I_def,I_count,I_not,I_obs,A,P,label_similarity_indicator,label_similarity_ideation,label_similarity_attempt,label_similarity_behaviour,L,closest_label,V,E,evidence_preview,Q,decision,final_rank,part_rank
adverse_childhood_experience_load,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S19_ACE_2001,"Childhood abuse, household dysfunction, and the risk of attempted suicide throughout the life span",https://pubmed.ncbi.nlm.nih.gov/11754674/,https://pubmed.ncbi.nlm.nih.gov/11754674/,1,,not_audited,"~2284 OpenAlex, checked 2026-06-11",Cumulative childhood adversity burden creating long-term vulnerability.,"Multiple adverse childhood experiences, unsafe upbringing, abuse, neglect, parental violence, incarceration, household substance use or mental illness.","A single ordinary childhood difficulty without threat, neglect, violence, or household dysfunction.","adverse_childhood_experience_load. Definition: Cumulative childhood adversity burden creating long-term vulnerability. What counts: Multiple adverse childhood experiences, unsafe upbringing, abuse, neglect, parental violence, incarceration, household substance use or mental illness. What does not count: A single ordinary childhood difficulty without threat, neglect, violence, or household dysfunction.","Childhood abuse, household dysfunction, and the risk of attempted suicide throughout the life span | JAMA (2001) | Adverse Childhood Experiences | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Childhood abuse, household dysfunction, and the risk of attempted suicide throughout the life span | JAMA (2001) | Adverse Childhood Experiences | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,1,1
childhood_emotional_abuse,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S20_CHILD_MALTREAT_META,Association of Childhood Maltreatment With Suicide Behaviors Among Young People: A Systematic Review and Meta-analysis,https://pubmed.ncbi.nlm.nih.gov/32756929/,https://pubmed.ncbi.nlm.nih.gov/32756929/,1,,not_audited,citation not checked by OpenAlex exact match; included as JAMA Network Open systematic review/meta-analysis,"History of repeated emotional cruelty, humiliation, threat, or rejection in childhood.","Being repeatedly insulted, terrorized, rejected, shamed, or emotionally harmed by caregivers/adults.","One argument, strict parenting, or ordinary criticism without repeated emotional abuse.","childhood_emotional_abuse. Definition: History of repeated emotional cruelty, humiliation, threat, or rejection in childhood. What counts: Being repeatedly insulted, terrorized, rejected, shamed, or emotionally harmed by caregivers/adults. What does not count: One argument, strict parenting, or ordinary criticism without repeated emotional abuse.","Association of Childhood Maltreatment With Suicide Behaviors Among Young People: A Systematic Review and Meta-analysis | JAMA Pediatrics (2020) | Childhood maltreatment evidence | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Association of Childhood Maltreatment With Suicide Behaviors Among Young People: A Systematic Review and Meta-analysis | JAMA Pediatrics (2020) | Childhood maltreatment evidence | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,2,2
childhood_physical_or_sexual_abuse,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S20_CHILD_MALTREAT_META,Association of Childhood Maltreatment With Suicide Behaviors Among Young People: A Systematic Review and Meta-analysis,https://pubmed.ncbi.nlm.nih.gov/32756929/,https://pubmed.ncbi.nlm.nih.gov/32756929/,1,,not_audited,citation not checked by OpenAlex exact match; included as JAMA Network Open systematic review/meta-analysis,History of physical or sexual abuse during childhood.,"Being beaten, assaulted, molested, coerced, sexually abused, or physically harmed as a child.","Adult consensual sex, ordinary discipline without harm, or vague unhappy childhood.","childhood_physical_or_sexual_abuse. Definition: History of physical or sexual abuse during childhood. What counts: Being beaten, assaulted, molested, coerced, sexually abused, or physically harmed as a child. What does not count: Adult consensual sex, ordinary discipline without harm, or vague unhappy childhood.","Association of Childhood Maltreatment With Suicide Behaviors Among Young People: A Systematic Review and Meta-analysis | JAMA Pediatrics (2020) | Childhood maltreatment evidence | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Association of Childhood Maltreatment With Suicide Behaviors Among Young People: A Systematic Review and Meta-analysis | JAMA Pediatrics (2020) | Childhood maltreatment evidence | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,3,3
childhood_neglect_or_unsafe_care,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S20_CHILD_MALTREAT_META,Association of Childhood Maltreatment With Suicide Behaviors Among Young People: A Systematic Review and Meta-analysis,https://pubmed.ncbi.nlm.nih.gov/32756929/,https://pubmed.ncbi.nlm.nih.gov/32756929/,1,,not_audited,citation not checked by OpenAlex exact match; included as JAMA Network Open systematic review/meta-analysis,"Childhood lack of protection, care, supervision, or emotional safety.","Being left alone, ignored, not fed, no safe adult, emotional neglect, unsafe or chaotic care.",Temporary parental busyness or normal independence without deprivation or danger.,"childhood_neglect_or_unsafe_care. Definition: Childhood lack of protection, care, supervision, or emotional safety. What counts: Being left alone, ignored, not fed, no safe adult, emotional neglect, unsafe or chaotic care. What does not count: Temporary parental busyness or normal independence without deprivation or danger.","Association of Childhood Maltreatment With Suicide Behaviors Among Young People: A Systematic Review and Meta-analysis | JAMA Pediatrics (2020) | Childhood maltreatment evidence | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Association of Childhood Maltreatment With Suicide Behaviors Among Young People: A Systematic Review and Meta-analysis | JAMA Pediatrics (2020) | Childhood maltreatment evidence | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,4,4
household_dysfunction_history,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S19_ACE_2001,"Childhood abuse, household dysfunction, and the risk of attempted suicide throughout the life span",https://pubmed.ncbi.nlm.nih.gov/11754674/,https://pubmed.ncbi.nlm.nih.gov/11754674/,1,,not_audited,"~2284 OpenAlex, checked 2026-06-11","Childhood household instability involving violence, incarceration, separation, or chronic chaos.","Domestic violence, caregiver incarceration, severe divorce disruption, chaotic home, unsafe family system.",Ordinary family disagreements or moving homes without dysfunction.,"household_dysfunction_history. Definition: Childhood household instability involving violence, incarceration, separation, or chronic chaos. What counts: Domestic violence, caregiver incarceration, severe divorce disruption, chaotic home, unsafe family system. What does not count: Ordinary family disagreements or moving homes without dysfunction.","Childhood abuse, household dysfunction, and the risk of attempted suicide throughout the life span | JAMA (2001) | Adverse Childhood Experiences | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Childhood abuse, household dysfunction, and the risk of attempted suicide throughout the life span | JAMA (2001) | Adverse Childhood Experiences | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,5,5
family_mental_illness_or_substance_context,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S19_ACE_2001,"Childhood abuse, household dysfunction, and the risk of attempted suicide throughout the life span",https://pubmed.ncbi.nlm.nih.gov/11754674/,https://pubmed.ncbi.nlm.nih.gov/11754674/,1,,not_audited,"~2284 OpenAlex, checked 2026-06-11",Family context shaped by caregiver mental illness or substance misuse.,"Parent/caregiver alcoholism, drug use, severe mental illness, hospitalization, or instability affecting the poster.",Poster own substance use or general family stress without family mental illness/substance context.,"family_mental_illness_or_substance_context. Definition: Family context shaped by caregiver mental illness or substance misuse. What counts: Parent/caregiver alcoholism, drug use, severe mental illness, hospitalization, or instability affecting the poster. What does not count: Poster own substance use or general family stress without family mental illness/substance context.","Childhood abuse, household dysfunction, and the risk of attempted suicide throughout the life span | JAMA (2001) | Adverse Childhood Experiences | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Childhood abuse, household dysfunction, and the risk of attempted suicide throughout the life span | JAMA (2001) | Adverse Childhood Experiences | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,6,6
trauma_exposure_history,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S38_PTSD_CPTSD,Complex PTSD: Australian Guidelines / ICD-11 CPTSD summary,https://www.phoenixaustralia.org/wp-content/uploads/2022/08/Chapter-7.-CPTSD.pdf,https://www.phoenixaustralia.org/wp-content/uploads/2022/08/Chapter-7.-CPTSD.pdf,1,,not_audited,diagnostic framework/guidance; citation count not applicable,Exposure to traumatic events that may shape later symptoms or appraisals.,"Assault, abuse, combat, accident, sexual violence, repeated interpersonal trauma, or explicit trauma history.","Everyday stress, embarrassment, or conflict without traumatic exposure.","trauma_exposure_history. Definition: Exposure to traumatic events that may shape later symptoms or appraisals. What counts: Assault, abuse, combat, accident, sexual violence, repeated interpersonal trauma, or explicit trauma history. What does not count: Everyday stress, embarrassment, or conflict without traumatic exposure.","Complex PTSD: Australian Guidelines / ICD-11 CPTSD summary | Phoenix Australia; ICD-11-informed guidance (2022) | ICD-11 PTSD/CPTSD | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Complex PTSD: Australian Guidelines / ICD-11 CPTSD summary | Phoenix Australia; ICD-11-informed guidance (2022) | ICD-11 PTSD/CPTSD | distal vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,7,7
chronic_physical_illness_or_pain,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S30_CDC_2026,Risk and Protective Factors for Suicide,https://www.cdc.gov/suicide/risk-factors/index.html,https://www.cdc.gov/suicide/risk-factors/index.html,1,,not_audited,guidance/framework source; citation count not applicable,"Longstanding illness, disability, or physical pain burden that constrains life.","Chronic pain, serious illness, disability, repeated medical suffering, physical condition as persistent burden.","Brief illness, routine fatigue, or metaphorical pain only.","chronic_physical_illness_or_pain. Definition: Longstanding illness, disability, or physical pain burden that constrains life. What counts: Chronic pain, serious illness, disability, repeated medical suffering, physical condition as persistent burden. What does not count: Brief illness, routine fatigue, or metaphorical pain only.","Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | contextual vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | contextual vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,8,8
discrimination_or_minority_stress,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S30_CDC_2026,Risk and Protective Factors for Suicide,https://www.cdc.gov/suicide/risk-factors/index.html,https://www.cdc.gov/suicide/risk-factors/index.html,1,,not_audited,guidance/framework source; citation count not applicable,"Stress from stigma, discrimination, exclusion, or marginalization.","Racism, homophobia, transphobia, ableism, identity-based mistreatment, community rejection, structural exclusion.",Ordinary disagreement or criticism unrelated to identity or structural exclusion.,"discrimination_or_minority_stress. Definition: Stress from stigma, discrimination, exclusion, or marginalization. What counts: Racism, homophobia, transphobia, ableism, identity-based mistreatment, community rejection, structural exclusion. What does not count: Ordinary disagreement or criticism unrelated to identity or structural exclusion.","Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | contextual vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | contextual vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,9,9
financial_insecurity,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S30_CDC_2026,Risk and Protective Factors for Suicide,https://www.cdc.gov/suicide/risk-factors/index.html,https://www.cdc.gov/suicide/risk-factors/index.html,1,,not_audited,guidance/framework source; citation count not applicable,"Ongoing economic insecurity that strains safety, autonomy, or stability.","Debt, poverty, inability to afford basics, chronic money stress, bills threatening survival.",Wanting more money or ordinary budgeting concerns without insecurity.,"financial_insecurity. Definition: Ongoing economic insecurity that strains safety, autonomy, or stability. What counts: Debt, poverty, inability to afford basics, chronic money stress, bills threatening survival. What does not count: Wanting more money or ordinary budgeting concerns without insecurity.","Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | contextual vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | contextual vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,10,10
unemployment_or_job_instability,Developmental and contextual vulnerability,Developmental and contextual vulnerability,S30_CDC_2026,Risk and Protective Factors for Suicide,https://www.cdc.gov/suicide/risk-factors/index.html,https://www.cdc.gov/suicide/risk-factors/index.html,1,,not_audited,guidance/framework source; citation count not applicable,Employment instability or job loss as a persistent stress context.,"Job loss, unstable work, repeated unemployment, workplace collapse, career instability.",Normal work dissatisfaction or a busy week.,"unemployment_or_job_instability. Definition: Employment instability or job loss as a persistent stress context. What counts: Job loss, unstable work, repeated unemployment, workplace collapse, career instability. What does not count: Normal work dissatisfaction or a busy week.","Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | contextual vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",1,1,1,,,,,,,,,,,,,,,"Risk and Protective Factors for Suicide | CDC (2026) | CDC socioecological risk/protective factors | contextual vulnerability | Background vulnerabilities and life-context factors that shape sensitivity to later stress, separated from acute crisis state.",,no_audit_include,11,11
